Release date,Estimated owners,Peak CCU,Metacritic score,User score,Positive,Negative,Genres
"Oct 21, 2008",0 - 20000,0,0,0,6,11,"Casual,Indie,Sports"
"Oct 12, 2017",0 - 20000,0,0,0,53,5,"Action,Indie"
"Nov 17, 2021",0 - 20000,0,0,0,0,0,"Action,Adventure,Indie,Strategy"
"Jul 23, 2020",0 - 20000,0,0,0,3,0,"Adventure,Casual,Indie"
"Feb 3, 2020",0 - 20000,0,0,0,50,8,"Adventure,Indie"
"Feb 26, 2021",50000 - 100000,68,0,0,87,49,"Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Strategy"
"Jan 9, 2022",0 - 20000,3,0,0,21,7,"Indie,Strategy"
"May 5, 2022",0 - 20000,2,0,0,0,0,Casual
"Apr 2, 2020",0 - 20000,1,0,0,76,6,"Adventure,RPG,Simulation,Strategy"
"Nov 11, 2014",50000 - 100000,0,0,0,225,45,"Action,Adventure,Indie"
"Oct 2, 2019",20000 - 50000,5,62,0,589,212,"Indie,RPG"
"Jul 1, 2016",50000 - 100000,0,0,0,147,58,Strategy
"Aug 27, 2021",0 - 20000,0,0,0,5,0,"Casual,Indie"
"Apr 6, 2018",20000 - 50000,0,0,0,36,11,"Casual,Indie"
"Nov 25, 2020",0 - 20000,3,0,0,100,5,"Action,Adventure,Indie,RPG,Strategy,Early Access"
"Nov 17, 2010",200000 - 500000,3,64,0,349,134,Action
"Nov 6, 2020",0 - 20000,0,0,0,17,0,"Action,Casual,Simulation,Sports"
"Feb 20, 2015",100000 - 200000,5,0,0,2046,120,"Adventure,Casual,Indie,RPG"
"Jun 20, 2019",0 - 20000,4,0,0,0,0,"Casual,Indie"
"Jul 24, 2020",0 - 20000,0,0,0,3,1,"Action,Adventure,Casual,Indie,Early Access"
"Jul 28, 2016",20000 - 50000,0,0,0,61,29,"Indie,Strategy"
"Jan 27, 2017",20000 - 50000,10,0,0,29,28,"Action,Adventure,Casual,Indie"
"Nov 20, 2017",100000 - 200000,19,0,0,1490,408,"Action,Indie,Racing,Simulation"
"Mar 22, 2018",20000 - 50000,0,0,0,4,10,"Action,Adventure,Casual,Indie"
"Jul 16, 2022",20000 - 50000,319,0,0,392,57,"Massively Multiplayer,Racing,Simulation,Sports"
"Oct 10, 2020",0 - 20000,0,0,0,37,22,"Action,Indie,Simulation"
"Aug 10, 2017",20000 - 50000,0,0,0,18,50,Casual
"Feb 16, 2021",0 - 20000,0,0,0,38,4,Casual
"Jul 18, 2020",0 - 20000,0,0,0,24,5,"Casual,Indie,Simulation,Strategy"
"Jun 19, 2020",0 - 20000,19,0,0,0,0,"Adventure,Casual,Indie,RPG,Simulation"
"Mar 6, 2018",0 - 20000,0,0,0,23,18,"Casual,Indie"
"Sep 8, 2021",0 - 20000,0,0,0,11,4,Utilities
"Mar 22, 2019",0 - 20000,0,0,0,8,4,"Adventure,Indie"
"Jan 20, 2017",20000 - 50000,0,0,0,16,10,"Adventure,Indie,RPG"
"Jun 14, 2010",100000 - 200000,1,0,0,258,166,"Action,Indie"
"Jul 1, 2020",0 - 20000,0,0,0,1,0,"Action,Strategy,Early Access"
"Jun 11, 2019",0 - 20000,0,0,0,7,2,Casual
"Dec 4, 2019",0 - 20000,0,0,0,16,8,"Adventure,Casual,Indie"
"Jan 15, 2020",0 - 20000,0,0,0,35,8,"Indie,RPG"
"Mar 3, 2014",200000 - 500000,1,0,0,2014,841,"Action,Casual,Indie"
"Nov 9, 2021",50000 - 100000,2,0,0,168,39,"Action,Indie,Early Access"
"Jun 6, 2018",50000 - 100000,0,0,0,55,91,"Adventure,Casual,Indie"
"Nov 15, 2013",100000 - 200000,4,53,0,1716,628,"Action,Adventure"
"May 7, 2019",0 - 20000,0,0,0,0,0,Indie
"Oct 18, 2018",50000 - 100000,2,84,0,698,203,"Adventure,Indie,RPG"
"Jan 16, 2018",50000 - 100000,19,0,0,138,84,"Casual,Free to Play,Indie,Massively Multiplayer,RPG,Simulation"
"Oct 15, 2021",0 - 20000,0,0,0,2,2,"Action,Adventure,Indie"
"Mar 26, 2018",2000000 - 5000000,2164,0,0,100620,25286,"Action,Adventure"
"Oct 5, 2017",20000 - 50000,0,0,0,2,3,"Adventure,Casual,Indie,Simulation,Strategy"
"Sep 8, 2016",0 - 20000,0,0,0,60,46,"Action,RPG"
"Jul 30, 2021",20000 - 50000,1,0,0,7,1,"Adventure,Casual"
"Oct 28, 2020",0 - 20000,0,0,0,1,0,"Adventure,Indie"
"Nov 7, 2021",0 - 20000,0,0,0,0,0,"Adventure,Indie"
"May 5, 2022",0 - 0,0,0,0,0,0,"Action,Adventure,RPG"
"Sep 12, 2021",0 - 20000,0,0,0,3,3,"Action,Adventure,RPG"
"Jan 10, 2021",0 - 20000,0,0,0,6,1,"Action,Indie,Early Access"
"Apr 25, 2016",20000 - 50000,1,0,0,69,17,"Casual,Indie"
"Mar 9, 2021",2000000 - 5000000,7571,0,0,122539,15095,Racing
"Jan 19, 2021",0 - 20000,0,0,0,2,17,"Action,Adventure,Indie,RPG"
"Oct 3, 2019",0 - 20000,0,0,0,6,4,Indie
"Jun 9, 2022",0 - 20000,0,0,0,10,0,"Adventure,Indie"
"Sep 3, 2019",20000 - 50000,0,0,0,0,1,"Action,Casual"
"Oct 9, 2015",200000 - 500000,1,0,0,283,92,"Action,Racing,Sports"
"Mar 1, 2022",0 - 20000,0,0,0,7,2,Casual
"Nov 1, 2021",20000 - 50000,16,0,0,328,253,"Action,Adventure,RPG,Simulation,Strategy,Early Access"
"Sep 26, 2019",0 - 20000,0,0,0,8,0,"Indie,Strategy"
"Jan 6, 2011",500000 - 1000000,49,89,0,9516,1114,Action
"Jun 15, 2021",20000 - 50000,0,0,0,1,0,"Action,Adventure,Indie"
"Jan 12, 2022",0 - 20000,0,0,0,17,0,"Adventure,Casual,Indie"
"Jun 5, 2020",0 - 20000,8,0,0,180,27,"Simulation,Strategy"
"Jun 11, 2021",0 - 20000,0,0,0,0,0,"Action,Casual,Indie,Early Access"
"Dec 14, 2016",500000 - 1000000,133,0,0,11739,367,"Adventure,Indie"
"Oct 29, 2019",0 - 20000,0,0,0,0,0,"Action,Indie"
"Oct 27, 2020",0 - 20000,1,0,0,51,6,"Adventure,Indie"
"Mar 29, 2021",0 - 20000,0,0,0,1,0,"Action,Indie"
"Sep 30, 2021",0 - 20000,0,0,0,7,2,"Action,Adventure,Casual,Indie,Racing,Early Access"
"Jul 14, 2018",0 - 20000,0,0,0,4,6,"Adventure,Casual,Indie,RPG,Strategy"
"Jun 19, 2022",0 - 20000,1,0,0,0,0,Action
"Jan 3, 2018",0 - 20000,0,0,0,31,13,"Action,Adventure,Indie"
"Sep 21, 2021",0 - 20000,0,0,0,0,0,"Adventure,Strategy"
"Sep 17, 2021",20000 - 50000,1,0,0,69,0,"Action,Casual,Indie,Early Access"
"May 28, 2015",20000 - 50000,0,0,0,10,26,"Adventure,Casual,Indie"
"Jul 31, 2020",0 - 20000,0,0,0,0,1,"Adventure,Indie,Simulation,Strategy"
"May 22, 2020",0 - 20000,0,0,0,15,3,"Action,Casual,Indie,Massively Multiplayer"
"Feb 8, 2019",0 - 20000,2,0,0,20,4,"Action,Casual,Indie,Strategy"
"Jun 14, 2017",0 - 20000,0,0,0,1,0,"Action,Indie"
"Nov 6, 2018",0 - 20000,0,0,0,1,2,"Adventure,Casual,Indie,Simulation,Sports,Strategy"
"Dec 15, 2020",0 - 20000,2,0,0,168,18,Adventure
"Sep 7, 2021",0 - 20000,6,0,0,102,32,"Action,Adventure,Free to Play,Indie"
"Apr 14, 2016",20000 - 50000,2,70,0,207,98,"Action,Adventure,Indie,RPG"
"Jul 14, 2022",20000 - 50000,0,0,0,12,0,"Action,Adventure,Casual,Indie"
"Jan 31, 2020",0 - 20000,0,0,0,0,0,"Indie,Simulation"
May 2020,0 - 20000,0,0,0,44,9,"Free to Play,Massively Multiplayer,RPG,Simulation,Early Access"
"Jun 30, 2020",200000 - 500000,358,0,0,4278,491,"Racing,Simulation,Sports"
"Jul 29, 2018",0 - 20000,0,0,0,35,11,"Free to Play,Simulation,Early Access"
"Jan 6, 2022",0 - 0,0,0,0,0,0,"Adventure,Casual,Indie,Simulation,Strategy"
"Jul 30, 2019",2000000 - 5000000,7507,86,0,82902,3014,"Indie,Simulation"
"Oct 17, 2021",0 - 20000,1,0,0,1,1,"Casual,Indie"
"Jun 21, 2022",0 - 20000,1,0,0,12,0,"Casual,Simulation,Sports,Strategy,Early Access"
"Mar 3, 2021",0 - 20000,1,0,0,245,70,"Adventure,Casual"
"Dec 23, 2021",20000 - 50000,0,0,0,50,0,"Adventure,Indie,RPG,Strategy"
"Jun 7, 2018",20000 - 50000,0,0,0,82,26,"Adventure,Casual,Indie"
"Sep 22, 2015",0 - 20000,0,0,0,288,28,"Action,Adventure,Indie,RPG"
"Oct 27, 2017",0 - 20000,0,0,0,61,16,"Action,Indie"
"Dec 10, 2015",0 - 20000,0,0,0,8,16,"RPG,Strategy"
"Mar 24, 2022",0 - 0,0,0,0,0,0,
"Jul 21, 2022",0 - 0,0,0,0,0,0,"Adventure,Indie"
"Oct 22, 2018",0 - 20000,0,0,0,3,0,"Casual,Indie,Strategy"
"Nov 28, 2016",50000 - 100000,0,0,0,124,132,"Free to Play,Massively Multiplayer,RPG"
"Sep 23, 2017",0 - 20000,0,0,0,8,0,"Casual,Indie"
"May 7, 2020",500000 - 1000000,0,0,0,12,6,"Action,Adventure,Casual,Indie"
"Mar 3, 2017",0 - 20000,0,0,0,17,17,"Action,Adventure,Indie,RPG"
"Feb 27, 2018",500000 - 1000000,54,0,0,4181,806,"Action,Casual"
"May 23, 2014",200000 - 500000,0,0,0,164,95,Casual
"Jun 3, 2022",0 - 20000,0,0,0,0,1,"Casual,Indie,Racing"
"Apr 17, 2021",0 - 20000,0,0,0,2,8,"Action,Indie"
"Feb 13, 2018",1000000 - 2000000,70,0,0,3075,6009,Action
"Aug 29, 2013",100000 - 200000,0,40,0,245,130,Action
"Oct 28, 2020",0 - 20000,0,0,0,21,1,"Adventure,Indie"
"Jul 15, 2021",50000 - 100000,44,87,0,2108,111,"Casual,Indie,Racing,Sports"
"Dec 4, 2015",0 - 20000,0,0,0,80,50,"Adventure,Indie,RPG,Strategy"
"Jul 19, 2016",200000 - 500000,8,0,0,2083,481,"Action,Indie"
"Feb 1, 2019",0 - 20000,3,0,0,242,27,"Adventure,Casual,Indie"
"Dec 16, 2019",0 - 20000,0,0,0,6,2,"Action,Casual,Indie,Racing,Simulation,Sports,Strategy"
"Jul 4, 2021",0 - 20000,0,0,0,53,11,"Action,Indie,Simulation"
"May 16, 2018",20000 - 50000,0,0,0,1,3,"Action,Casual,Indie"
"Jan 31, 2020",0 - 20000,0,0,0,1,0,"Adventure,Casual,Indie,RPG"
"Jan 28, 2021",1000000 - 2000000,1457,0,0,41425,3672,Indie
"Dec 29, 2020",0 - 20000,2,0,0,26,24,"Indie,Sports"
"Apr 5, 2021",0 - 20000,0,0,0,14,2,"Action,Adventure,Casual,Indie,RPG,Early Access"
"Jul 29, 2020",0 - 20000,0,0,0,68,3,"Action,Adventure,Casual,Indie,RPG"
"Sep 30, 2021",0 - 20000,0,0,0,6,0,"Action,Adventure,Casual,Indie"
"Jun 19, 2020",0 - 20000,2,0,0,79,29,"Casual,Indie,Sports"
"Mar 29, 2022",0 - 20000,0,0,0,0,0,"Action,Indie"
"Jul 11, 2016",0 - 20000,1,0,0,25,7,"Action,Indie"
