0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Casual,Indie,Sports,,,,,,,,,,,,,,,,
Action,Indie,,,,,,,,,,,,,,,,,
Action,Adventure,Indie,Strategy,,,,,,,,,,,,,,,
Adventure,Casual,Indie,,,,,,,,,,,,,,,,
Adventure,Indie,,,,,,,,,,,,,,,,,
Adventure,Casual,Free to Play,Massively Multiplayer,RPG,Strategy,,,,,,,,,,,,,
Indie,Strategy,,,,,,,,,,,,,,,,,
Casual,,,,,,,,,,,,,,,,,,
Adventure,RPG,Simulation,Strategy,,,,,,,,,,,,,,,
Action,Adventure,Indie,,,,,,,,,,,,,,,,
Indie,RPG,,,,,,,,,,,,,,,,,
Strategy,,,,,,,,,,,,,,,,,,
Casual,Indie,,,,,,,,,,,,,,,,,
Casual,Indie,,,,,,,,,,,,,,,,,
Action,Adventure,Indie,RPG,Strategy,Early Access,,,,,,,,,,,,,
Action,,,,,,,,,,,,,,,,,,
Action,Casual,Simulation,Sports,,,,,,,,,,,,,,,
Adventure,Casual,Indie,RPG,,,,,,,,,,,,,,,
Casual,Indie,,,,,,,,,,,,,,,,,
Action,Adventure,Casual,Indie,Early Access,,,,,,,,,,,,,,
Indie,Strategy,,,,,,,,,,,,,,,,,
Action,Adventure,Casual,Indie,,,,,,,,,,,,,,,
Action,Indie,Racing,Simulation,,,,,,,,,,,,,,,
Action,Adventure,Casual,Indie,,,,,,,,,,,,,,,
Massively Multiplayer,Racing,Simulation,Sports,,,,,,,,,,,,,,,
Action,Indie,Simulation,,,,,,,,,,,,,,,,
Casual,,,,,,,,,,,,,,,,,,
Casual,,,,,,,,,,,,,,,,,,
Casual,Indie,Simulation,Strategy,,,,,,,,,,,,,,,
Adventure,Casual,Indie,RPG,Simulation,,,,,,,,,,,,,,
Casual,Indie,,,,,,,,,,,,,,,,,
Utilities,,,,,,,,,,,,,,,,,,
Adventure,Indie,,,,,,,,,,,,,,,,,
Adventure,Indie,RPG,,,,,,,,,,,,,,,,
Action,Indie,,,,,,,,,,,,,,,,,
Action,Strategy,Early Access,,,,,,,,,,,,,,,,
Casual,,,,,,,,,,,,,,,,,,
Adventure,Casual,Indie,,,,,,,,,,,,,,,,
Indie,RPG,,,,,,,,,,,,,,,,,
Action,Casual,Indie,,,,,,,,,,,,,,,,
Action,Indie,Early Access,,,,,,,,,,,,,,,,
Adventure,Casual,Indie,,,,,,,,,,,,,,,,
Action,Adventure,,,,,,,,,,,,,,,,,
Indie,,,,,,,,,,,,,,,,,,
Adventure,Indie,RPG,,,,,,,,,,,,,,,,
Casual,Free to Play,Indie,Massively Multiplayer,RPG,Simulation,,,,,,,,,,,,,
Action,Adventure,Indie,,,,,,,,,,,,,,,,
Action,Adventure,,,,,,,,,,,,,,,,,
Adventure,Casual,Indie,Simulation,Strategy,,,,,,,,,,,,,,
Action,RPG,,,,,,,,,,,,,,,,,
Adventure,Casual,,,,,,,,,,,,,,,,,
Adventure,Indie,,,,,,,,,,,,,,,,,
Adventure,Indie,,,,,,,,,,,,,,,,,
Action,Adventure,RPG,,,,,,,,,,,,,,,,
Action,Adventure,RPG,,,,,,,,,,,,,,,,
Action,Indie,Early Access,,,,,,,,,,,,,,,,
Casual,Indie,,,,,,,,,,,,,,,,,
Racing,,,,,,,,,,,,,,,,,,
Action,Adventure,Indie,RPG,,,,,,,,,,,,,,,
Indie,,,,,,,,,,,,,,,,,,
Adventure,Indie,,,,,,,,,,,,,,,,,
Action,Casual,,,,,,,,,,,,,,,,,
Action,Racing,Sports,,,,,,,,,,,,,,,,
Casual,,,,,,,,,,,,,,,,,,
Action,Adventure,RPG,Simulation,Strategy,Early Access,,,,,,,,,,,,,
Indie,Strategy,,,,,,,,,,,,,,,,,
Action,,,,,,,,,,,,,,,,,,
Action,Adventure,Indie,,,,,,,,,,,,,,,,
Adventure,Casual,Indie,,,,,,,,,,,,,,,,
Simulation,Strategy,,,,,,,,,,,,,,,,,
Action,Casual,Indie,Early Access,,,,,,,,,,,,,,,
Adventure,Indie,,,,,,,,,,,,,,,,,
Action,Indie,,,,,,,,,,,,,,,,,
Adventure,Indie,,,,,,,,,,,,,,,,,
Action,Indie,,,,,,,,,,,,,,,,,
Action,Adventure,Casual,Indie,Racing,Early Access,,,,,,,,,,,,,
Adventure,Casual,Indie,RPG,Strategy,,,,,,,,,,,,,,
Action,,,,,,,,,,,,,,,,,,
Action,Adventure,Indie,,,,,,,,,,,,,,,,
Adventure,Strategy,,,,,,,,,,,,,,,,,
Action,Casual,Indie,Early Access,,,,,,,,,,,,,,,
Adventure,Casual,Indie,,,,,,,,,,,,,,,,
Adventure,Indie,Simulation,Strategy,,,,,,,,,,,,,,,
Action,Casual,Indie,Massively Multiplayer,,,,,,,,,,,,,,,
Action,Casual,Indie,Strategy,,,,,,,,,,,,,,,
Action,Indie,,,,,,,,,,,,,,,,,
Adventure,Casual,Indie,Simulation,Sports,Strategy,,,,,,,,,,,,,
Adventure,,,,,,,,,,,,,,,,,,
Action,Adventure,Free to Play,Indie,,,,,,,,,,,,,,,
Action,Adventure,Indie,RPG,,,,,,,,,,,,,,,
Action,Adventure,Casual,Indie,,,,,,,,,,,,,,,
Indie,Simulation,,,,,,,,,,,,,,,,,
Free to Play,Massively Multiplayer,RPG,Simulation,Early Access,,,,,,,,,,,,,,
Racing,Simulation,Sports,,,,,,,,,,,,,,,,
