game_age,mean_owners,action,adventure,casual,early_access,free_to_play,indie,massively_multiplayer,rpg,racing,simulation,sports,strategy
13,10000.0,0,0,1,0,0,1,0,0,0,0,1,0
4,10000.0,1,0,0,0,0,1,0,0,0,0,0,0
0,10000.0,1,1,0,0,0,1,0,0,0,0,0,1
2,10000.0,0,1,1,0,0,1,0,0,0,0,0,0
2,10000.0,0,1,0,0,0,1,0,0,0,0,0,0
1,75000.0,0,1,1,0,1,0,1,1,0,0,0,1
0,10000.0,0,0,0,0,0,1,0,0,0,0,0,1
0,10000.0,0,0,1,0,0,0,0,0,0,0,0,0
2,10000.0,0,1,0,0,0,0,0,1,0,1,0,1
7,75000.0,1,1,0,0,0,1,0,0,0,0,0,0
2,35000.0,0,0,0,0,0,1,0,1,0,0,0,0
6,75000.0,0,0,0,0,0,0,0,0,0,0,0,1
1,10000.0,0,0,1,0,0,1,0,0,0,0,0,0
4,35000.0,0,0,1,0,0,1,0,0,0,0,0,0
1,10000.0,1,1,0,1,0,1,0,1,0,0,0,1
11,350000.0,1,0,0,0,0,0,0,0,0,0,0,0
1,10000.0,1,0,1,0,0,0,0,0,0,1,1,0
7,150000.0,0,1,1,0,0,1,0,1,0,0,0,0
3,10000.0,0,0,1,0,0,1,0,0,0,0,0,0
2,10000.0,1,1,1,1,0,1,0,0,0,0,0,0
6,35000.0,0,0,0,0,0,1,0,0,0,0,0,1
5,35000.0,1,1,1,0,0,1,0,0,0,0,0,0
4,150000.0,1,0,0,0,0,1,0,0,1,1,0,0
4,35000.0,1,1,1,0,0,1,0,0,0,0,0,0
0,35000.0,0,0,0,0,0,0,1,0,1,1,1,0
1,10000.0,1,0,0,0,0,1,0,0,0,1,0,0
5,35000.0,0,0,1,0,0,0,0,0,0,0,0,0
1,10000.0,0,0,1,0,0,0,0,0,0,0,0,0
2,10000.0,0,0,1,0,0,1,0,0,0,1,0,1
2,10000.0,0,1,1,0,0,1,0,1,0,1,0,0
4,10000.0,0,0,1,0,0,1,0,0,0,0,0,0
0,10000.0,0,0,0,0,0,0,0,0,0,0,0,0
3,10000.0,0,1,0,0,0,1,0,0,0,0,0,0
5,35000.0,0,1,0,0,0,1,0,1,0,0,0,0
12,150000.0,1,0,0,0,0,1,0,0,0,0,0,0
2,10000.0,1,0,0,1,0,0,0,0,0,0,0,1
3,10000.0,0,0,1,0,0,0,0,0,0,0,0,0
2,10000.0,0,1,1,0,0,1,0,0,0,0,0,0
2,10000.0,0,0,0,0,0,1,0,1,0,0,0,0
8,350000.0,1,0,1,0,0,1,0,0,0,0,0,0
